Host Name,OS,OS - EOL RATING,LOCATION,REGION,System Classification,Applications / Business Processes / functions ,"VBP, DR, or SLA",Brand,Model,Type / Product #,Serial Number,MODEL - EOL RATING,MODEL,Location Address,Location,
JPPOSAKSBK080,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL460c G6,,,IBM__DC A_ 4F
JPPOSAKSBK090,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL460c G6,,,IBM__DC A_ 4F
JPPOSAKSBK100,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL460c G6,,,IBM__DC A_ 4F
JPPOSAKSBK110,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL460c G6,,,IBM__DC A_ 4F
JPPOSAKSBK120,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL460c G6,,,IBM__DC A_ 4F
JPPOSAKSBK130,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL460c G6,,,IBM__DC A_ 4F
JPPOSAKSBK140,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL460c G6,,,IBM__DC A_ 4F
JPPOSAKSBK150,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL460c G6,,,IBM__DC A_ 4F
JPPOSAKSBK160,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL460c G6,,,IBM__DC A_ 4F
JPPOSAKSBK170,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL460c G6,,,IBM__DC A_ 4F
JPPOSAKSBK180,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL460c G6,,,IBM__DC A_ 4F
JPPOSAKSDB231,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL460c G6,,,IBM__DC A_ 4F
JPPOSAKSEX011,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL460c G6,,,IBM__DC A_ 4F
JPPOSAKSEX021,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL460c G6,,,IBM__DC A_ 4F
JPPOSAKSFS021,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL460c G6,,,IBM__DC A_ 4F
JPPOSAKSFS022,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL460c G6,,,IBM__DC A_ 4F
JPPOSAKSFS071,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL460c G6,,,IBM__DC A_ 4F
JPPOSAKSFS072,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL460c G6,,,IBM__DC A_ 4F
JPPOSAKSFS081,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL460c G6,,,IBM__DC A_ 4F
JPPOSAKSFS082,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL460c G6,,,IBM__DC A_ 4F
JPPOSAKSSN010,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL460c G6,,,IBM__DC A_ 4F
JPPOSAKSVS083,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL460c G6,,,IBM__DC A_ 4F
JPPOSAKSVS122,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL460c G6,,,IBM__DC A_ 4F
JPPOSAKSVS081,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL460c G6,,,IBM__DC A_ 4F
JPPOSAKSVS082,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL460c G6,,,IBM__DC A_ 4F
JPPOSAKSAP670,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPPOSAKSAP680,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPPOSAKSAP711,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
JPPOSAKSBK250,W2008 R2,SUNSET,JP - Nanko DC,API,Disaster Recovery,,,,,,,SUNSET,BL460c G7 ,,,IBM__DC A_ 4F
