Host Name,OS,LOCATION,REGION,Environment,APPLICATION,MODEL
5,ESX 5.0,NL - Meppel,EUTD,Production,,DL380P G8
AP1UXSA01,SUSE 11,IBM Makuhari DC,API,Production,,VIRTUAL
APIDDI01,CentOS 6.5,IBM Makuhari DC,API,Production,,VIRTUAL
APITSR06,CENTOS,JP -Tsukuba,API,Production,,DL360 G4p
APIU1051,RHEL 6.4,IBM Makuhari DC,API,Production,,DL380p G8
APIU1052,RHEL 6.4,IBM Makuhari DC,API,Production,,DL380p G8
APIU1061,RHEL 6.4,IBM Makuhari DC,API,Production,,DL380p G8
APIU1062,RHEL 6.4,IBM Makuhari DC,API,Production,,DL380p G8
APIUVCAS010,Ubuntu,IBM Makuhari DC,API,Production,,VIRTUAL
APIUXES1 ESM,GNU/LINUX 2.4.21,JP - Kashima,API,Production,,DL360 G3
APIUXMV5,HP-UX 11i v3(B.11.31),IBM Makuhari DC,API,Production,,Integrity rx2800i2
APIUXMV6,HP-UX 11i v3(B.11.31),IBM Makuhari DC,API,Production,,Integrity rx2800i2
APIUXMV7,HP-UX 11i v3(B.11.31),IBM Nanko DC,API,Pre-Production,,Integrity rx2800i2
APIUXMV8,HP-UX 11i v3(B.11.31),IBM Nanko DC,API,Pre-Production,,Integrity rx2800i2
APIUXNP0,RHEL 6.5,IBM Makuhari DC,API,Production,,DL360e G8
APIUXNP1,RHEL 6.5,IBM Makuhari DC,API,Production,,DL360e G8
APIUXNP2,RHEL 6.5,IBM Makuhari DC,API,Production,,DL360e G8
APIUXSA02,SUSE 11,IBM Makuhari DC,API,Production,,VIRTUAL
APIUXSA03,SUSE 11,IBM Makuhari DC,API,Production,,VIRTUAL
APPBKKHQDC020,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
APPBOMHQDC010,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
APPHKGHQDC020,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
APPJKTHQDC010,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
APPMNLHQDC020,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
APPOSAKSDC010,W2012 R2,IBM Nanko DC,API,Disaster Recovery,,VIRTUAL
APPOSAKSDC020,W2012 R2,IBM Nanko DC,API,Disaster Recovery,,VIRTUAL
APPOSAKSEX011,W2008 R2,JP - Nanko DC,API,Disaster Recovery,,BL460c G6
APPOSAKSEX021,W2008 R2,JP - Nanko DC,API,Disaster Recovery,,VIRTUAL
APPPEKSHDC010,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
APPPEKSHDC020,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
APPPEKSHEX011,W2008 R2,UNKNOWN,API,Disaster Recovery,,VIRTUAL
APPPEKSHEX021,W2008 R2,UNKNOWN,API,Disaster Recovery,,VIRTUAL
APPPEKSHRA010,W2008,UNKNOWN,API,Production,,VIRTUAL
APPSELDRDC010,W2012 R2,API - Remote Asia,API,Disaster Recovery,,VIRTUAL
APPSELDRRA010,W2008 R2,UNKNOWN,API,Disaster Recovery,,VIRTUAL
APPSELHQDC010,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
APPSELHQRA010,W2008,UNKNOWN,API,Production,,VIRTUAL
APPSHASODC010,W2008,UNKNOWN,API,Production,,VIRTUAL
APPSHASORA010,W2008,UNKNOWN,API,Production,,VIRTUAL
APPSHEHQDC010,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
APPSHEHQDC020,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
APPSHEHQDC030,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
APPSHEHQDC040,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
APPSHEHQEX011,W2008 R2,UNKNOWN,API,Production,,VIRTUAL
APPSHEHQEX012,W2008 R2,UNKNOWN,API,Production,,VIRTUAL
APPSHEHQEX021,W2008 R2,UNKNOWN,API,Production,,VIRTUAL
APPSHEHQEX022,W2008 R2,UNKNOWN,API,Production,,VIRTUAL
APPSHEHQRA010,W2008,UNKNOWN,API,Production,,VIRTUAL
APPSHEHQRA020,W2008,UNKNOWN,API,Production,,VIRTUAL
APPSINHQDC010,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
APPSYDHQDC010,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
APPTPEHQDC010,W2012 R2,API - Remote Asia,API,Production,,VIRTUAL
APPTPEHQRA010,W2008,UNKNOWN,API,Production,,VIRTUAL
APPTYOCTDC010,W2012 R2,IBM Makuhari DC,API,Production,,BL460c G8
APPTYOCTDC020,W2012 R2,IBM Makuhari DC,API,Production,,VIRTUAL
APPTYOCTDC030,W2012 R2,IBM Makuhari DC,API,Production,,VIRTUAL
APPTYOCTDC040,W2012 R2,IBM Makuhari DC,API,Production,,VIRTUAL
APPTYOCTDC060,W2012 R2,IBM Makuhari DC,API,Production,,VIRTUAL
APPTYOCTEX011,W2008 R2,JP - Makuhari DC,API,Production,,BL460c G7 
APPTYOCTEX012,W2008 R2,JP - Makuhari DC,API,Production,,BL460c G7 
APPTYOCTEX013,W2008 R2,JP - Makuhari DC,API,Production,,BL460c G7 
APPTYOCTEX021,W2008 R2,JP - Makuhari DC,API,Production,,VIRTUAL
APPTYOCTEX022,W2008 R2,JP - Makuhari DC,API,Production,,VIRTUAL
APPTYOCTMN010,W2008 R2,JP - Makuhari DC,API,Production,,DL360 G6
APPTYOCTMN020,W2008 R2,JP - Makuhari DC,API,Production,,DL360p G8
APPTYOCTRA010,W2008,JP - Nanko DC,API,Production,,VIRTUAL
AS0010DENE,W2003,DE - DCS,APEL,Production,Smile_PRD,VIRTUAL
AS0020DENE,W2003,DE - DCS,APEL,Test,Smile_TST,VIRTUAL
AS010ATVI11,W2003,AT - Vienna,APEL,Non- Production,,
AS010ESMA11,W2003,SP - Madrid,APEL,Non- Production,AST_RSM_ESMA,DL360 G4
AS010FRPA11,W2003,FR - Paris,APEL,Production,,DL320 G4
AS010NLME11,W2003,NL - Meppel,EUTD,Production,AST_EBR_MEPPEL_GW_PRD,DL380 G6
AS010PLWA11,W2003,PL - Warsaw,APEL,Non- Production,AST_RSM_PLWA,DL380 G3
AS010TRIS11,W2003,TK - Istanbul,APEL,Non- Production,AST_RSM_TRIS,DL360 G4
AS0110DENE,W2003,DE - DCS,APEL,Production,Harbinger_PRD,VIRTUAL
AS0120DENE,W2003,DE - DCS,APEL,Production,"Starnet Prod App Server

(EX_HYPERION_PRD)",X3550 M3
AS0130DENE,W2003,DE - DCS,APEL,Production,"Starnet Prod App Server

(EX_HYPERION_PRD)",X3550 M3
AS0140DENE,W2003,DE - DCS,APEL,Production,"Starnet Prod App Server

(EX_HYPERION_PRD)",X3550 M3
AS0160DENE,W2003,DE - DCS,APEL,Production,STARNET_PRD,X3550 M3
AS020ATVI11,W2003,AT - Vienna,APEL,Non- Production,AST_RSM_ATVI,DL380 G5
AS020BEBR11,W2003,BE - Brussels,APEL,Non- Production,,DL360 G2
AS020DEMU11,W2003,DE - DCS,APEL,Prod,SCRIPTING_PROD,VIRTUAL
AS020ESMA11,W2003,SP - Madrid,APEL,Non- Production,AST_RSM_ESMA,DL380 G6
AS020NLME11,W2003,NL - Meppel,EUTD,QAS,AST_SERVICE_EBR_MEPPEL_CITRIX_QAS,DL380 G6
AS0260DENE,W2003,DE - DCS,APEL,Production,SUNACCOUNT_PRD,VIRTUAL
AS0270DENE,W2003,DE - DCS,APEL,Production,MOH_PRD,VIRTUAL
AS030BEBR11,W2003,BE - BRUSSELS,APEL,Non- Production,,ML350 G4
AS030IEDU11,W2008 R2,IE - Dublin,EUTD,Production,AST_SERVICE_Z_AD-ONLY,VIRTUAL
AS030NLME11,W2003,NL - Meppel,EUTD,Development,AST_SERVICE_EBR_MEPPEL_CITRIX_DEV,DL380 G6
AS040IEDU11,W2008 R2,IE - Dublin,EUTD,Production,KOFAX,VIRTUAL
AS040NLME01,W2008 R2,NL - Meppel,EUTD,Production,VMware vCenter Virtual Machine,VIRTUAL
AS040NLME02,W2008 R2,NL - Meppel,EUTD,Production,VMware Update Manager Virtual Machine,VIRTUAL
AS040NLME03,W2008 R2,NL - Meppel,EUTD,Production,06CETAZ Backup Server Hardware Server,X3550 M4
AS040NLME11,W2003,NL - Meppel,EUTD,Production,AST_SERVICE_EBR_MEPPEL_PRD,DL380 G6
AS041NLME01,W2008 R2,NL - Meppel,EUTD,Production,NWA,VIRTUAL
AS041NLME02,W2008 R2,NL - Meppel,EUTD,Production,PASX ,VIRTUAL
AS041NLME03,W2008 R2,NL - Meppel,EUTD,Production,PASX ,VIRTUAL
AS041NLME04,W2008 R2,NL - Meppel,EUTD,Production,PASX ,VIRTUAL
AS041NLME05,W2008 R2,NL - Meppel,EUTD,Production,PASX ,VIRTUAL
AS041NLME06,W2008 R2,NL - Meppel,EUTD,Production,PASX ,VIRTUAL
AS041NLME07,W2008 R2,NL - Meppel,EUTD,Production,0,VIRTUAL
AS041NLME08,W2008 R2,NL - Meppel,EUTD,Production,0,VIRTUAL
AS041NLME09,W2008 R2,NL - Meppel,EUTD,QAS,PASX ,VIRTUAL
AS041NLME10,W2008 R2,NL - Meppel,EUTD,QAS,PASX ,VIRTUAL
AS041NLME11,W2008 R2,NL - Meppel,EUTD,QAS,PASX ,VIRTUAL
AS041NLME12,W2008 R2,NL - Meppel,EUTD,QAS,PASX ,VIRTUAL
AS041NLME13,W2008 R2,NL - Meppel,EUTD,QAS,NWA,VIRTUAL
AS041NLME14,W2008 R2,NL - Meppel,EUTD,Development,Empower,VIRTUAL
AS041NLME15,W2008 R2,NL - Meppel,EUTD,Development,Empower,VIRTUAL
AS041NLME16,W2008 R2,NL - Meppel,EUTD,QAS,New server not in use yet,VIRTUAL
AS041NLME17,W2008 R2,NL - Meppel,EUTD,QAS,New server not in use yet,VIRTUAL
AS041NLME18,W2008 R2,NL - Meppel,EUTD,Development,PASX ,VIRTUAL
AS041NLME19,W2008 R2,NL - Meppel,EUTD,Development,PASX ,VIRTUAL
AS041NLME20,W2008 R2,NL - Meppel,EUTD,Development,PASX ,VIRTUAL
AS041NLME21,W2008 R2,NL - Meppel,EUTD,Development,PASX ,VIRTUAL
AS041NLME22,W2008 R2,NL - Meppel,EUTD,Development,NWA,VIRTUAL
AS041NLME23,W2008 R2,NL - Meppel,EUTD,Development,0,VIRTUAL
AS041NLME24,W2008 R2,NL - Meppel,EUTD,Development,0,VIRTUAL
AS041NLME25,W2008 R2,NL - Meppel,EUTD,Development,0,VIRTUAL
AS041NLME26,W2008 R2,NL - Meppel,EUTD,Development,0,VIRTUAL
AS041NLME27,W2008 R2,NL - Meppel,EUTD,Development,0,VIRTUAL
AS041NLME28,W2008 R2,NL - Meppel,EUTD,Test,0,VIRTUAL
AS041NLME29,W2008 R2,NL - Meppel,EUTD,Test,0,VIRTUAL
AS041NLME30,W2008 R2,NL - Meppel,EUTD,Test,0,VIRTUAL
AS041NLME31,W2008 R2,NL - Meppel,EUTD,Test,0,VIRTUAL
AS041NLME32,W2008 R2,NL - Meppel,EUTD,Test,0,VIRTUAL
AS041NLME33,W2008 R2,NL - Meppel,EUTD,Test,0,VIRTUAL
AS041NLME34,W2008 R2,NL - Meppel,EUTD,Test,0,VIRTUAL
AS041NLME35,W2008 R2,NL - Meppel,EUTD,Test,0,VIRTUAL
AS041NLME36,W2008 R2,NL - Meppel,EUTD,Test,0,VIRTUAL
AS041NLME37,W2008 R2,NL - Meppel,EUTD,Test,0,VIRTUAL
AS041NLME38,W2008 R2,NL - Meppel,EUTD,Test,0,VIRTUAL
AS041NLME39,W2008 R2,NL - Meppel,EUTD,Test,0,VIRTUAL
AS041NLME40,W2008 R2,NL - Meppel,EUTD,Test,0,VIRTUAL
AS041NLME41,W2008 R2,NL - Meppel,EUTD,Test,0,VIRTUAL
AS041NLME42,W2008 R2,NL - Meppel,EUTD,Test,0,VIRTUAL
AS041NLME43,W2008 R2,NL - Meppel,EUTD,Test,0,VIRTUAL
AS041NLME44,W2008 R2,NL - Meppel,EUTD,Test,0,VIRTUAL
AS041NLME45,W2008 R2,NL - Meppel,EUTD,Test,0,VIRTUAL
AS041NLME46,W2008 R2,NL - Meppel,EUTD,Test,0,VIRTUAL
AS041NLME47,W2008 R2,NL - Meppel,EUTD,Test,0,VIRTUAL
AS041NLME48,W2008 R2,NL - Meppel,EUTD,Test,0,VIRTUAL
AS050BEBR11,W2003,BE - Brussels,APEL,Non- Production,AST_RSM_BEBR,DL380 G3
AS050IEDU11,W2008 R2,IE - Dublin,EUTD,Production,Opentext,VIRTUAL
AS050NLME11,W2003,NL - Meppel,EUTD,QAS,AST_SERVICE_EBR_MEPPEL_CITRIX_QAS,DL380 G6
AS070IEDU11,W2003,IE - Dublin,EUTD,Production,SAP BI DEV Server,VIRTUAL
AS070IEKI11,W2008 R2,IE - Dublin,EUTD,Production,SAP Disaster Recovery,VIRTUAL
AS080IEDU11,W2003,IE - Dublin,EUTD,Production,SAP BI QA Server,VIRTUAL
AS090IEDU11,W2003,IE - Dublin,EUTD,Production,SAP BI PROD Server,VIRTUAL
AS1020DENE,W2003,DE - DCS,APEL,Test,Hyperion_TEST,VIRTUAL
AS1070DENE,W2003,DE - DCS,APEL,Production,HYPERION_PRD,VIRTUAL
AS110IEDU11,W2008 R2,IE - Dublin,EUTD,Production,Empower 3,VIRTUAL
AS1120DENE,W2003,DE - DCS,APEL,Development,SCORE_DEV,VIRTUAL
AS1130DENE,W2003,DE - DCS,APEL,Development,SCORE_DEV,VIRTUAL
AS1190DENE,W2003,DE - DCS,APEL,Production,SCORE_PRD,X3550 M3
AS1200DENE,W2003,DE - DCS,APEL,Production,"SCORE 

(EX_HYPERION_PRD)",X3550 M3
AS120DEMU11,W2003,DE - DCS,APEL,Production,INTERNAL WEBSITES,VIRTUAL
AS1210DENE,W2003,DE - DCS,APEL,Production,SCORE_PRD,X3550 M3
AS130DEMU11,W2003,DE - DCS,APEL,Production,INTERNAL WEBSITES,VIRTUAL
AS1310DENE,SUSE 10,DE - DCS,APEL,Dev,IMPACT_POLARIS_DEV,VIRTUAL
AS1320DENE,SUSE 10,DE - DCS,APEL,Dev,Aspire_DEV,DL380 G6
AS1330DENE,SUSE 10,DE - DCS,APEL,PROD,Aspire_PRD,DL380 G6
AS1340DENE,SUSE 11,DE - DCS,APEL,PROD,Aspire_PRD,DL380 G6
AS1350DENE,SUSE 10,DE - DCS,APEL,Dev,IMPACT_POLARIS_DEV,VIRTUAL
AS1360DENE,SUSE 10,DE - DCS,APEL,Validation,IMPACT_POLARIS_VAL,VIRTUAL
AS1370DENE,SUSE 11,DE - DCS,APEL,PROD,IMPACT_POLARIS_PRD,DL380 G7
AS1380DENE,SUSE 11,DE - DCS,APEL,PROD,IMPACT_POLARIS_PRD,DL380 G7
AS1390DENE,W2008 R2,DE - DCS,APEL,Production,GAMS_PRD,VIRTUAL
AS1400DENE,W2003,DE - DCS,APEL,Production,READSOFT_PRD,VIRTUAL
AS1410DENE,SUSE 10,DE - DCS,APEL,Validation,IMPACT_POLARIS_VAL,VIRTUAL
AS1420DENE,W2008 R2,DE - DCS,APEL,Production,ErgoDirect_PRD,VIRTUAL
AS1460DENE,W2008 R2,DE - DCS,APEL,Production,SPOTFIRE_PRD,VIRTUAL
AS1470DENE,W2008 R2,DE - DCS,APEL,Production,SPOTFIRE_PRD,VIRTUAL
AS1480DENE,W2008 R2,DE - DCS,APEL,Development,SPOTFIRE_DEV,VIRTUAL
AS1490DENE,W2008 R2,DE - DCS,APEL,Production,SPOTFIRE_PRD,VIRTUAL
AS1500DENE,W2008 R2,DE - DCS,APEL,Development,SPOTFIRE_DEV,VIRTUAL
AS190IEKI11,W2008 R2,IE - Kerry,EUTD,Validation,Validation - Background Processes Server (MES),VIRTUAL
AS200IEKI11,W2008 R2,IE - Kerry,EUTD,Development,Development - Jboss Server (MES),VIRTUAL
AS210IEKI11,W2008 R2,IE - Kerry,EUTD,Development,Development - Background Processes Server  (MES),VIRTUAL
AS270IEKI11,W2008 R2,IE - Kerry,EUTD,Development,Development - Jboss Server (Serialisation),VIRTUAL
AS280IEKI11,W2008 R2,IE - Kerry,EUTD,Development,Development - Citrix 1 Server (Serialisation),VIRTUAL
AS300DENE11,SOLARIS 10,DE - DCO,APEL,GxP,SAS_PRD,VIRTUAL
AS300IEKI11,W2008 R2,IE - Kerry,EUTD,Production,SAP IED Server,VIRTUAL
AS301DENE11,SOLARIS 10,DE - DCO,APEL,GxP,SAS_PRD,VIRTUAL
AS30ADENE11,SOLARIS 10,DE - DCO,APEL,GxP,SAS_PRD,VIRTUAL
AS30BDENE11,SOLARIS 10,DE - DCO,APEL,GxP,SAS_PRD,VIRTUAL
AS310DENE11,SOLARIS 10,DE - DCO,APEL,GXP,SAS_VAL,VIRTUAL
AS310IEKI11,W2008 R2,IE - Kerry,EUTD,Production,SAP QAS Server,VIRTUAL
AS31ADENE11,SOLARIS 10,DE - DCO,APEL,GXP,SAS_VAL,VIRTUAL
AS320DENE11,SOLARIS 10,DE - DCO,APEL,GxP,SAS_DEV,VIRTUAL
AS320IEKI11,W2008 R2,IE - Kerry,EUTD,Production,Oracle and  SAP Server for SAP DGR (IVD),VIRTUAL
AS32ADENE11,SOLARIS 10,DE - DCO,APEL,GxP,SAS_DEV,VIRTUAL
AS331IEKI11,W2008 R2,IE - Kerry,EUTD,Production,Node 1 of SAP Server Cluster for SAP ECC PROD (P11),VIRTUAL
AS332IEKI11,W2008 R2,IE - Kerry,EUTD,Production,Node 2 of SAP Server Cluster for SAP ECC PROD (P11),VIRTUAL
AS341IEKI11,W2008 R2,IE - Kerry,EUTD,Production,Node 1 of SAP Server Cluster for SAP GRC  PROD (IVP),VIRTUAL
AS342IEKI11,W2008 R2,IE - Kerry,EUTD,Production,Node 2 of SAP Server Cluster for SAP GRC  PROD (IVP),VIRTUAL
AS360IEKI11,W2008 R2,IE - Kerry,EUTD,Production,Astellas Cloud  Application Server,VIRTUAL
AS370IEKI11,W2008 R2,IE - Kerry,EUTD,Production,HR Records Management Server ,VIRTUAL
AS390IEKI11,W2008 R2,IE - Kerry,EUTD,Production,Line Server2 for BL4,VIRTUAL
AS5020DENE,W2008 R2,DE - DCS,APEL,Production,CZBI System,VIRTUAL
ASDDFWDCAP010,W2008 R2,US - RTP,AUS,Dev,AST IGD MS-SQL DB Server,DL380 G7
ASDMFHDRAP010,W2008 R2,US - RTP,AUS,DEV,AST TeamConnect   ,VIRTUAL
ASDMFHDRAP020,W2008 R2,US - RTP,AUS,DEV,AST Sales Analytics Qlikview Server,DL380 G6
ASDMFHDRAP030,W2008 R2,US - RTP,AUS,DEV,AST PMO Workflow,DL380 G7
ASDMFHDRAP040,W2008 R2,US - RTP,AUS,DEV,AST Casewise Dev - App,VIRTUAL
ASDMFHDRAP050,W2008 R2,US - RTP,AUS,DEV,AST Instantis Dev - App,VIRTUAL
ASDMFHDRAP060,W2008 R2,US - RTP,AUS,DEV,AST InputAccel Module,VIRTUAL
ASDMFHDRAP070,W2008 R2,US - RTP,AUS,DEV,AST InputAccel  einput,VIRTUAL
ASDMFHDRAP080,W2008 R2,US - RTP,AUS,DEV,AST InputAccel  Scan ,VIRTUAL
ASDMFHDRAP090,W2008 R2,US - RTP,AUS,DEV,AST AFFECT Server,DL360P G8
ASDMFHDRAP110,W2008 R2,US - RTP,AUS,QA,AST Sales Analytics Qlikview Server,DL380 G5
ASDMFHDRAP150,W2008 R2,US - RTP,AUS,DEV,AST ADMS,VIRTUAL
ASDMFHDRAP190,W2008 R2,US - RTP,AUS,DEV,AST SFA ID MGMT / PINGONE – App,VIRTUAL
ASDMFHDRDB010,W2008 R2,US - RTP,AUS,DEV,AST Intranet ( Hosted Site - eTRAC),VIRTUAL
ASDMFHDRDB020,W2008 R2,US - RTP,AUS,QA,AST Intranet ( Hosted Site - eTRAC),X3650 M4
ASDMFHDRDB030,W2008 R2,US - RTP,AUS,DEV,AST PMO Workflow,DL380 G7
ASDMFHDRTM010,W2003,US - RTP,AUS,Production,AST eCDT Express Citrix,DL360 G7
ASDMFHDRWB010,W2008 R2,US - RTP,AUS,DEV,AST Intranet ( Hosted Site - eTRAC),VIRTUAL
ASDMFHDRWB020,W2008 R2,US - RTP,AUS,QA,AST Intranet ( Hosted Site - eTRAC) Web Server,X3650 M4
ASDMNZDCVS010,W2008,US - RTP,AUS,DEV,AST Excel Report Generation,VIRTUAL
ASDRDUDCAP010,W2012 R2,US - RTP,AUS,,SharePoint 2013,VIRTUAL
ASDRDUDCAP020,W2008 R2,US - RTP,AUS,DEV,AST Trackwise ,VIRTUAL
ASDRDUDCAP040,W2008 R2,US - RTP,AUS,Dev,0,VIRTUAL
ASDRDUDCAP050,W2008 R2,US - RTP,AUS,Dev,0,VIRTUAL
ASDRDUDCAP060,W2008 R2,US - RTP,AUS,Dev,0,VIRTUAL
ASDRDUDCAP070,RHEL 6,US - RTP,AUS,DEV,0,VIRTUAL
ASDRDUDCAP080,RHEL 6.7,US - RTP,AUS,DEV,0,VIRTUAL
ASDRDUDCAP090,RHEL 6,US - RTP,AUS,DEV,0,VIRTUAL
ASDRDUDCAP100,W2012 R2,US - RTP,AUS,Production,WinShuttle,VIRTUAL
asdrdudcap110,RHEL 6.7,US - RTP,AUS,Development,MODEL N,X3550 M3
ASDRDUDCAP120,W2008 R2,US - RTP,AUS,DEV,eCTDXpress ,VIRTUAL
ASDRDUDCAP130,W2008 R2,US - RTP,AUS,DEV,eCTDXpress ,VIRTUAL
ASDRDUDCAP140,W2008 R2,US - RTP,AUS,DEV,eCTDXpress ,VIRTUAL
ASDRDUDCAP160,W2012 R2,US - RTP,AUS,DEV,No Application ,VIRTUAL
ASDRDUDCAP170,W2012 R2,US - RTP,AUS,DEV,No Application ,VIRTUAL
ASDRDUDCAP180,W2012 R2,US - RTP,AUS,DEV,No Application ,VIRTUAL
ASDRDUDCAP400,W2012 R2,US - RTP,AUS,Development,HPRM,VIRTUAL
ASDRDUDCAP410,W2012 R2,US - RTP,AUS,Development,HPRM,VIRTUAL
ASDRDUDCAPJJ0,W2008 R2,US - RTP,AUS,DEV,Control-M,VIRTUAL
ASDRDUDCAPKK0,RHEL 6.7,US - RTP,AUS,DEV,Model N upgrade ,VIRTUAL
ASDRDUDCAPMM0,RHEL 6.7,US - RTP,AUS,DEV,Model N upgrade ,VIRTUAL
ASDRDUDCAPNN0,RHEL 6.7,US - RTP,AUS,DEV,Model N upgrade ,VIRTUAL
ASDRDUDCAPpp0,W2008 R2,US - RTP,AUS,DEV,ModelN,X3650 M5
ASDRDUDCAPqq0,W2008 R2,US - RTP,AUS,DEV,ModelN,X3550 M4
asdrdudcapr10,RHEL 6.5,US - RTP,AUS,Misc,0,VIRTUAL
ASDRDUDCTM010,W2008 R2,US - RTP,AUS,DEV,CITRIX Server in Farm- AST65DEV,VIRTUAL
ASDRDUDCTM020,W2008 R2,US - RTP,AUS,DEV,CITRIX Server in Farm- AST65DEV,VIRTUAL
ASDRDUDCTM030,W2008 R2,US - RTP,AUS,DEV,CITRIX Server in Farm- AST65DEV,VIRTUAL
ASDRDUDCTM040,W2008 R2,US - RTP,AUS,DEV,CITRIX Server in Farm- AST65DEV,VIRTUAL
ASDRDUDCTM050,W2008 R2,US - RTP,AUS,DEV,CITRIX Server in Farm- AST65DEV,VIRTUAL
ASDRDUDCTM060,W2008 R2,US - RTP,AUS,DEV,CITRIX Server in Farm- AST65DEV,VIRTUAL
ASDRDUDCTM070,W2008 R2,US - RTP,AUS,DEV,CITRIX Server in Farm- AST65DEV,VIRTUAL
ASDRDUDCTM080,W2008 R2,US - RTP,AUS,DEV,CITRIX Server in Farm- AST65DEV,VIRTUAL
ASDRDUDCTM090,W2008 R2,US - RTP,AUS,DEV,CITRIX Server in Farm- AST65DEV,VIRTUAL
ASDRDUDCVS020,W2008 R2,US - RTP,AUS,DEV,AST Pipeline Server Dev Windows 1 – RTP,VIRTUAL
ASDRDUDCVS030,W2008 R2,US - RTP,AUS,DEV,AST Pipeline Server Dev Windows 2 – RTP,VIRTUAL
ASDRDUDCVS040,RHEL 4,US - RTP,AUS,Production,0,VIRTUAL
ASDRDUDCVS050,RHEL 6.5,US - RTP,AUS,Production,0,VIRTUAL
ASDRDUDCWB010,W2008 R2,US - RTP,AUS,Production,Citrix Web Interface Server ,VIRTUAL
ASDRDUDCWB020,W2012 R2,US - RTP,AUS,,SharePoint 2013,VIRTUAL
ASPCHIHQAP010,W2008,US - Northbrook,AUS,Production,AST Solar Winds Prod App Server,DL360 G6
ASPCHIHQAP020,W2008 R2,US - Northbrook,AUS,Production,AST Xerox CAS server,DL360 G7
ASPCHIHQAP030,W2008 R2,US - Northbrook,AUS,Production,AST Digital Signage Server,DL360 G7
ASPCHIHQAP040,W2008 R2,US - Northbrook,AUS,Production,AST Xerox XDM server ,DL360 G7
ASPCHIHQAP050,W2008 R2,US - Northbrook,AUS,Production,AST Xerox Mobile Print Application,DL360 G8
ASPCHIHQAP070,W2008 R2,US - Northbrook,AUS,Production,AST Xerox CAS server,DL360 G7
ASPCHIHQDB010,W2008 R2,US - Northbrook,AUS,Production,AST Windows Orion Database Server,DL380 G6
ASPCHIHQDC010,W2008,US - Northbrook,AUS,Production,AST Domain Controller (americas.astellas.net)- AMHQ,VIRTUAL
ASPCHIHQDC020,W2008,US - Northbrook,AUS,Production,AST Domain Controller (americas.astellas.net)- AMHQ,VIRTUAL
ASPCHIHQDT010,W2008 R2,US - Northbrook,AUS,QA,AST SCCM Prod App Remote Server,DL380 G5
ASPCHIHQFS010,W2008 R2,US - Northbrook,AUS,Production,AST Northbrook File Server,DL380 G8
ASPCHIHQFS021,W2012 R2,US - Northbrook,AUS,Production,File share system ,DL380 G9
ASPCHIHQFS022,W2012 R2,US - Northbrook,AUS,Production,File share system ,DL380 G9
ASPCHIHQFX010,W2008,US - Northbrook,AUS,Production,Rightfax,X3550 M4
ASPCHIHQPR010,W2008 R2,US - Northbrook,AUS,Production,AST AMHQ Print Server,DL360 G7
ASPCHIHQPR020,W2008 R2,US - Northbrook,AUS,Production,AST AD Print Server,DL360 G7
ASPCHIHQVS010,W2008,US - Northbrook,AUS,Production,AST Hyper-V HOST (hosting DC Virtual Server) - AMHQ,DL360 G6
ASPCHIHQVS020,W2008,US - Northbrook,AUS,Production,AST Hyper-V HOST (hosting DC Virtual Server) - AMHQ,DL360 G6
ASPCHIHQVS030,W2012 R2,US - Northbrook,AUS,PROD,Hyper V Host,UNKNOWN
ASPCHIHQVS040,W2012 R2,US - Northbrook,AUS,PROD,Hyper V Host,UNKNOWN
ASPCHIRCDC010,W2008,US - Skokie,AUS,Production,AST Domain Controller (americas.astellas.net) + DHCP Server,VIRTUAL
ASPCHIRCFS010,W2008 R2,US - Skokie,AUS,Production,AST Windows File server,DL380 G7
ASPCHIRCS020,W2012 R2,US - Skokie,AUS,PROD,Hyper V Host,UNKNOWN
ASPCHIRCVS010,W2008,US - Skokie,AUS,Production,AST Hyper-V HOST (hosting DC Virtual Server)- Skokie,DL360 G6
ASPDFWDCAP010,W2008 R2,US - BLD,AUS,Production,AST TeamConnect Prod Server,X3550 M4
ASPDFWDCAP020,W2008 R2,US - BLD,AUS,Production,AST Sales Analytics Qlikview Prod Server,DL580 G7
ASPDFWDCAP030,W2008 R2,US - BLD,AUS,Production,AST Sales Analytics Qlikview Dashboard Prod Server,DL580 G7
ASPDFWDCAP040,W2008 R2,US - BLD,AUS,Production,AST IGD MS-SQLDB  /CaseWise IBM Rational System Architect,X3650 M4
ASPDFWDCAP050,W2008 R2,US - BLD,AUS,Production,AST Casewise Production Virtual Server,VIRTUAL
ASPDFWDCAP080,W2008 R2,US - BLD,AUS,Production,,VIRTUAL
