Host Name,OS,LOCATION,REGION,Environment,APPLICATION,MODEL
EUPMPPPLVS030,ESX 5.0,NL - Meppel,EUTD,Production,ESXi Host - SX2,DL380P G8
EUPMPPPLVS040,ESX 5.0,NL - Meppel,EUTD,Production,ESXi Host - SX2,DL380P G8
EUPMPPPLVS050,ESX 5.0,NL - Meppel,EUTD,Production,ESXi Host - SX2,DL380P G8
EUPMPPPLVS060,ESX 5.0,NL - Meppel,EUTD,Production,ESXi Host - SX2,DL380P G8
EUPMPPPLVS070,ESX 5.0,NL - Meppel,EUTD,Production,ESXi Host - SX2,DL380P G8
EUPMPPPLVS090,ESX 5.0,NL - Meppel,EUTD,Production,ESXi Host - SX2,DL380P G8
EUPMUCHQDC010,W2008,DE - Munich,APEL,Production,Domain Controller,VIRTUAL
EUPMUCHQDT010,W2008,DE - Munich,APEL,Production,AST_SEP_SCCM_PRD,VIRTUAL
EUPMUCHQFS010,W2008 R2,DE - Munich,APEL,Production,DFS,DL380 G7
EUPMUCHQVS010,W2008 R2,DE - Munich,APEL,Production,AST_SYSTEM_HYPERV_RSM_PRD,DL380 G6
EUPNSUDCAP080,W2008 R2,DE - DCS,APEL,Production,TRIM_PRD,VIRTUAL
EUPNSUDCAP090,W2008 R2,DE - DCS,APEL,Production,TRIM_PRD,VIRTUAL
EUPNSUDCAP100,W2008 R2,DE - DCS,APEL,Production,TRIM_PRD,VIRTUAL
EUPNSUDCAP110,W2008 R2,DE - DCS,APEL,Production,TALENT_PRD,VIRTUAL
EUPNSUDCAP150,W2008 R2,DE - DCS,APEL,Production,AST_SERVICE_MRA_PRD,X3550 M4
EUPNSUDCAP160,W2008,DE - DCS,APEL,Production,MINOR_PRD,VIRTUAL
EUPNSUDCAP170,W2008 R2,DE - DCS,APEL,Production,Empower3_PRD,VIRTUAL
EUPNSUDCAP180,W2003,DE - DCS,APEL,Production,ESSBASE_PRD,VIRTUAL
EUPNSUDCAP190,SUSE 11,DE - DCS,APEL,Production,Datastage CRM_PRD,VIRTUAL
EUPNSUDCAP200,W2008 R2,DE - DCS,APEL,Production,PV Register_PRD,VIRTUAL
EUPNSUDCAP210,W2008 R2,DE - DCS,APEL,Production,SPOTFIRE_PRD,VIRTUAL
EUPNSUDCAP220,W2008 R2,DE - DCS,APEL,Production,BIZTALK_PRD,VIRTUAL
EUPNSUDCAP230,W2008 R2,DE - DCS,APEL,Production,BIZTALK_PRD,VIRTUAL
EUPNSUDCAP250,SUSE 10,DE - DCO,APEL,Production,Axway_PRD,P260
EUPNSUDCAP290,W2008 R2,DE - DCS,APEL,Production,CONDECO_PRD,VIRTUAL
EUPNSUDCAP300,W2008 R2,DE - DCS,APEL,Production,Secure Print,VIRTUAL
EUPNSUDCAP360,W2008 R2,DE - DCS,APEL,Production,SHAREPOINT_2010_PRD,VIRTUAL
EUPNSUDCAP380,W2008,DE - DCS,APEL,Production,SCCM_PRD,VIRTUAL
EUPNSUDCAP390,W2008 R2,DE - DCS,APEL,Production,APA_IMAP_PRD,VIRTUAL
EUPNSUDCAP400,W2008,DE - DCS,APEL,Production,HYPERION_PRD,VIRTUAL
EUPNSUDCAP410,W2008,DE - DCS,APEL,Production,HYPERION_PRD,VIRTUAL
EUPNSUDCAP420,W2008,DE - DCS,APEL,Production,HYPERION_PRD,VIRTUAL
EUPNSUDCAP430,W2008,DE - DCS,APEL,Production,HYPERION_PRD,VIRTUAL
EUPNSUDCAP440,W2008,DE - DCS,APEL,Production,HYPERION_PRD,VIRTUAL
EUPNSUDCAP450,W2008,DE - DCS,APEL,Production,HYPERION_PRD,VIRTUAL
EUPNSUDCAP460,W2008,DE - DCS,APEL,Production,HYPERION_PRD,VIRTUAL
EUPNSUDCAP470,W2008,DE - DCS,APEL,Production,HYPERION_PRD,VIRTUAL
EUPNSUDCAP480,W2008,DE - DCS,APEL,Production,HYPERION_PRD,DL380p G8
EUPNSUDCAP550,W2008 R2,DE - DCS,APEL,Production,VoIP - ARC Servers,UNKNOWN
EUPNSUDCAP551 ,W2008 R2,DE - DCS,APEL,Production,VoIP - ARC Servers,UNKNOWN
EUPNSUDCAP560,W2008 R2,DE - DCS,APEL,Production,SPOTFIRE_PRD,VIRTUAL
EUPNSUDCAP570,W2008 R2,DE - DCS,APEL,Production,SPOTFIRE_PRD,VIRTUAL
EUPNSUDCAP580,W2008 R2,DE - DCS,APEL,Production,SPOTFIRE_PRD,VIRTUAL
EUPNSUDCAP590,W2008 R2,DE - DCS,APEL,Production,APA_Opentext_PRD,VIRTUAL
EUPNSUDCAP600,W2008 R2,DE - DCS,APEL,Production,APA_Opentext_PRD,VIRTUAL
EUPNSUDCDB000,W2008 R2,DE - DCS,APEL,Production,TRIM_PRD,VIRTUAL
EUPNSUDCDB040,W2008 R2,DE - DCS,APEL,Production,PMX_PRD,VIRTUAL
EUPNSUDCDB050,SUSE 11,DE - DCS,APEL,Production,"Datastage CRM_DEV, QAS & PRD",X3550 M4
EUPNSUDCDB060,W2008 R2,DE - DCS,APEL,Production,PV Register_PRD,VIRTUAL
EUPNSUDCDB070,W2008 R2,DE - DCS,APEL,Production,"AST_SERVICE_EUBIP3_PRD


SPOTFIRE_PRD

",DL380 G7
EUPNSUDCDB081,W2008 R2,DE - DCS,APEL,Production,BIZTALK_SQL_CLUSTER_2008,X3550 M4
EUPNSUDCDB082,W2008 R2,DE - DCS,APEL,Production,BIZTALK_SQL_CLUSTER_2008,X3550 M4
EUPNSUDCDB100,W2008 R2,DE - DCS,APEL,Production,SHAREPOINT_2010_PRD,VIRTUAL
